Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
13474,"LECROY, KENNETH",M,"$62,864.00",FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/17/06,10/28/06,11/7/06,11/29/06,12/12/06,12/25/06,12/29/06,1/4/07
13475,"LUQUETTE, EDDA",F,"$63,492.09",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,RICHARD THOMAS,Filled,10/19/06,10/31/06,11/8/06,12/2/06,12/13/06,12/22/06,12/29/06,1/4/07
13476,"MISICKA, GARY",M,"$68,694.00",FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/11/06,10/27/06,11/7/06,11/29/06,12/15/06,12/19/06,12/29/06,1/4/07
13477,"MUETING, BOK",F,"$56,026.96",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,DAVID ANDERSON,Filled,10/20/06,10/30/06,11/6/06,11/28/06,12/11/06,12/15/06,12/29/06,1/4/07
13478,"SHIGETA, ARTURO",M,"$62,864.00",FRS,Fire and Rescue Services,Station 20,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,10/23/06,11/2/06,11/7/06,12/1/06,12/10/06,12/22/06,12/28/06,1/4/07
13479,"TALLO, JERALD",M,"$67,914.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/3/06,11/7/06,11/8/06,11/28/06,12/12/06,12/20/06,12/28/06,1/4/07
13480,"LECKINGTON, ELISHA",M,"$64,901.00",FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/9/06,11/17/06,11/21/06,12/10/06,12/18/06,12/25/06,12/27/06,1/4/07
13481,"SKARSTEN, GARRETT",M,"$68,694.00",FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/15/06,11/3/06,11/10/06,12/1/06,12/13/06,12/22/06,12/27/06,1/4/07
13482,"GERBERDING, ANDERSON",M,"$62,864.00",FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/17/06,11/6/06,11/14/06,11/27/06,12/12/06,12/22/06,12/27/06,1/4/07
13483,"LALOND, MAYNARD",M,"$62,864.00",FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/24/06,11/4/06,11/15/06,12/6/06,12/17/06,12/20/06,12/27/06,1/4/07
13484,"ARCHBELL, CEDRICK",M,"$77,016.00",FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,WILLIAM WILSON,Filled,10/20/06,10/31/06,11/10/06,11/29/06,12/12/06,12/20/06,12/27/06,1/4/07
13485,"LUBERT, JEROMY",M,"$62,864.00",FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,10/5/06,10/21/06,10/28/06,11/22/06,12/5/06,12/15/06,12/27/06,1/4/07
13486,"DUROST, JAIME",M,"$69,755.00",FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/9/06,11/15/06,11/27/06,12/13/06,12/18/06,12/25/06,12/26/06,1/4/07
13487,"WORSTALL, JIMMIE",M,"$62,864.00",FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/24/06,11/6/06,11/13/06,12/1/06,12/12/06,12/20/06,12/26/06,1/4/07
13488,"MATTE, RUDOLPH",M,"$114,715.55",DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Capital Projects Manager,LINDA JONES,Filled,10/6/06,10/20/06,10/31/06,11/20/06,12/3/06,12/20/06,12/26/06,1/4/07
13489,"BORSKE, LUCAS",M,"$55,628.18",HHS,Department of Health and Human Services,Child Care Subsidies - Admin,Fulltime-Regular,Income Assistance Program Specialist II,MARIA TAYLOR,Filled,10/30/06,11/11/06,11/14/06,12/5/06,12/14/06,12/19/06,12/26/06,1/4/07
13490,"GUZEWICZ, JUSTIN",M,"$74,979.00",FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Master Firefighter/Rescuer,JENNIFER MARTINEZ,Filled,10/19/06,10/27/06,11/6/06,11/27/06,12/4/06,12/18/06,12/26/06,1/4/07
13491,"COWER, NELLIE",F,"$60,018.12",HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Client Assistance Specialist,DAVID ANDERSON,Filled,10/2/06,10/12/06,10/28/06,11/20/06,12/6/06,12/17/06,12/26/06,1/4/07
13492,"NIEMUTH, LEANDRA",F,"$34,985.75",HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Social Worker III,RICHARD THOMAS,Filled,10/22/06,10/28/06,11/1/06,11/21/06,12/3/06,12/16/06,12/26/06,1/4/07
13493,"MADDLE, DEWEY",M,"$62,864.00",FRS,Fire and Rescue Services,Rescue 2,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,10/8/06,11/1/06,11/7/06,11/26/06,12/6/06,12/20/06,12/25/06,1/4/07
13494,"PETTEWAY, LEMUEL",M,"$67,628.00",FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/10/06,11/11/06,11/24/06,12/9/06,12/16/06,12/19/06,12/25/06,1/4/07
13495,"LOESEL, JULIO",M,"$62,864.00",FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/18/06,10/23/06,11/2/06,11/24/06,12/10/06,12/18/06,12/25/06,1/4/07
13496,"DUNCAN, PARTHENIA",F,"$102,174.87",FRS,Fire and Rescue Services,Code Compliance,Fulltime-Regular,Senior Permitting Services Specialist,JENNIFER MARTINEZ,Filled,10/13/06,10/27/06,11/2/06,11/22/06,12/4/06,12/18/06,12/25/06,1/4/07
13497,"KRYNSKI, STEFANIA",F,"$34,981.55",DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,PATRICIA WILLIAMS,Filled,10/7/06,10/23/06,11/5/06,11/21/06,12/5/06,12/17/06,12/25/06,1/4/07
13498,"WEIH, LACY",M,"$64,901.00",FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,10/6/06,10/29/06,11/18/06,12/2/06,12/16/06,12/20/06,12/23/06,1/4/07
13499,"LEVENTRY, ANDREAS",M,"$62,864.00",FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/6/06,10/18/06,10/26/06,11/15/06,12/3/06,12/13/06,12/23/06,1/4/07
13500,"KLOHR, KEITH",M,"$44,535.87",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,10/19/06,10/31/06,11/11/06,12/2/06,12/13/06,12/16/06,12/22/06,1/4/07
13501,"KAYR, LAVERNE",M,"$67,715.00",POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/6/06,10/26/06,11/4/06,11/28/06,12/5/06,12/16/06,12/22/06,1/4/07
13502,"JOSH, GARFIELD",M,"$69,755.00",FRS,Fire and Rescue Services,Station 4,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,10/22/06,11/4/06,11/9/06,11/26/06,12/8/06,12/15/06,12/22/06,1/4/07
13503,"ANICETE, MITCH",M,"$62,864.00",FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,10/6/06,10/12/06,10/26/06,11/14/06,11/30/06,12/15/06,12/22/06,1/4/07
13504,"SAEKI, SANDY",M,"$64,901.00",FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/14/06,11/2/06,11/10/06,11/23/06,12/9/06,12/15/06,12/21/06,1/4/07
13505,"BAINER, SAM",M,"$60,473.00",COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),MARY SMITH,Filled,10/24/06,10/29/06,11/3/06,11/19/06,12/1/06,12/11/06,12/21/06,1/4/07
13506,"IGE, ELROY",M,"$89,073.80",DPS,Department of Permitting Services,Land Development Right-of-Way Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,BARBARA DAVIS,Filled,10/28/06,11/6/06,11/12/06,12/1/06,12/12/06,12/16/06,12/20/06,1/4/07
13507,"EMHOFF, STACY",M,"$46,394.90",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/2/06,11/11/06,11/15/06,11/30/06,12/8/06,12/11/06,12/19/06,1/4/07
13508,"SENEVIRATNE, ROD",M,"$45,187.62",DLC,Department of Liquor Control,Montrose,Fulltime-Regular,Liquor Store Clerk II,JOHN BROWN,Filled,10/18/06,11/5/06,11/12/06,11/30/06,12/11/06,12/18/06,12/24/06,1/3/07
13509,"VANELLA, MARCELL",F,"$93,778.96",BOE,Board of Elections,Information Technology,Fulltime-Regular,Senior Information Technology Specialist,MARY SMITH,Filled,10/11/06,10/19/06,11/2/06,11/18/06,11/30/06,12/10/06,12/22/06,1/3/07
13510,"BOCKER, OLIVE",F,"$57,988.53",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,MARIA TAYLOR,Filled,10/27/06,11/4/06,11/18/06,12/3/06,12/17/06,12/22/06,12/27/06,1/2/07
13511,"HEAFEY, TERRI",F,"$35,563.30",DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,PATRICIA WILLIAMS,Filled,10/20/06,10/28/06,11/7/06,11/25/06,12/10/06,12/15/06,12/26/06,1/2/07
13512,"KRETSCHMER, TRUMAN",M,"$47,432.76",HHS,Department of Health and Human Services,Disease Control - Immunization,Fulltime-Regular,Office Services Coordinator,RICHARD THOMAS,Filled,10/21/06,11/3/06,11/14/06,11/30/06,12/4/06,12/13/06,12/24/06,1/2/07
13513,"OGINO, EDWIN",M,"$77,198.83",DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,JOHN BROWN,Filled,10/13/06,10/19/06,10/28/06,11/15/06,12/3/06,12/9/06,12/22/06,1/2/07
13514,"RAVENSCRAFT, MICHAL",M,"$70,072.00",DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Senior Supply Technician,PATRICIA WILLIAMS,Filled,10/10/06,10/18/06,11/5/06,11/22/06,12/3/06,12/13/06,12/21/06,1/2/07
13515,"ZOZAYA, CHASIDY",F,"$58,178.39",COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 2,Fulltime-Regular,Correctional Specialist II,JAMES JOHNSON,Filled,11/7/06,11/19/06,11/24/06,12/7/06,12/14/06,12/18/06,12/19/06,1/2/07
13516,"PUPPO, KAREEM",M,"$92,636.27",DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Services Coordinator,PATRICIA WILLIAMS,Filled,10/12/06,10/22/06,10/29/06,11/13/06,12/1/06,12/10/06,12/19/06,1/2/07
13517,"LUEDDE, TILLIE",F,"$37,255.80",DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,PATRICIA WILLIAMS,Filled,10/9/06,10/21/06,11/1/06,11/23/06,12/2/06,12/8/06,12/18/06,1/2/07
13518,"BOEHLING, SANDY",M,"$51,035.23",DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permit Technician III,BARBARA DAVIS,Filled,10/27/06,11/6/06,11/13/06,11/30/06,12/6/06,12/14/06,12/17/06,1/2/07
13519,"FEBRES, GUILLERMO",M,"$44,535.95",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,10/17/06,10/30/06,11/6/06,11/24/06,12/3/06,12/12/06,12/17/06,1/2/07
13520,"GAJARDO, SAVANNA",F,"$47,066.47",POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Services Assistant,JOSEPH JACKSON,Filled,9/26/06,10/10/06,10/19/06,11/7/06,11/16/06,11/26/06,12/9/06,1/2/07
13521,"JAVID, REINALDO",M,"$49,935.74",HHS,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Dental Assistant,JENNIFER MARTINEZ,Filled,10/13/06,10/29/06,11/13/06,11/27/06,12/9/06,12/22/06,12/28/06,1/1/07
13522,"MCALILEY, YOSHIE",F,"$66,427.20",DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Senior Executive Administrative Aide,PATRICIA WILLIAMS,Filled,10/12/06,10/26/06,11/9/06,11/25/06,12/9/06,12/16/06,12/28/06,1/1/07
13523,"LUBRANT, MINNA",F,"$51,948.30",CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Services Coordinator,MARY SMITH,Filled,11/2/06,11/14/06,11/21/06,12/9/06,12/15/06,12/21/06,12/27/06,1/1/07
13524,"PHLIPOT, THERESE",F,"$43,119.31",HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Principal Administrative Aide,MARIA TAYLOR,Filled,11/6/06,11/11/06,11/13/06,12/2/06,12/10/06,12/16/06,12/27/06,1/1/07
13525,"AMRAM, DELINDA",F,"$43,119.31",LIB,Department of Public Libraries,Administration,Fulltime-Regular,Principal Administrative Aide,SUSAN HERNANDEZ,Filled,10/21/06,11/2/06,11/11/06,11/27/06,12/9/06,12/17/06,12/25/06,1/1/07
13526,"PECHOTA, ROYCE",F,"$66,517.25",COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,JAMES JOHNSON,Filled,10/29/06,11/12/06,11/23/06,12/5/06,12/13/06,12/22/06,12/24/06,1/1/07
13527,"FELTROP, LEN",M,"$94,741.00",HHS,Department of Health and Human Services,Adult Behavioral Health Services,Parttime-Regular,Medical Doctor III - Psychiatrist,RICHARD THOMAS,Filled,10/19/06,11/1/06,11/9/06,12/5/06,12/14/06,12/21/06,12/24/06,1/1/07
13528,"MICHALK, CLEOPATRA",F,"$54,976.00",COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/2/06,11/8/06,11/17/06,12/5/06,12/14/06,12/18/06,12/24/06,1/1/07
13529,"KORKOSZ, FIDEL",M,"$87,723.90",HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,MARIA TAYLOR,Filled,10/21/06,11/3/06,11/8/06,11/26/06,12/8/06,12/11/06,12/24/06,1/1/07
13530,"CROLIUS, CHRISTEEN",F,"$129,156.42",DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Manager III,PATRICIA WILLIAMS,Filled,10/11/06,10/29/06,11/2/06,11/20/06,12/4/06,12/14/06,12/23/06,1/1/07
13531,"FIELY, MAGAN",F,"$88,636.00",CEX,Offices of the County Executive,County Executive's Office,Fulltime-Regular,Administrative Assistant to the County Executive,MARY SMITH,Filled,10/15/06,10/21/06,10/25/06,11/11/06,11/29/06,12/8/06,12/18/06,1/1/07
13532,"BUCKINS, KRISTYN",F,"$48,374.48",POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Services Assistant,MARGARET MARTIN,Filled,10/12/06,10/22/06,11/5/06,11/21/06,11/29/06,12/7/06,12/18/06,1/1/07
13533,"HALLOWS, BRITTANI",F,"$19,296.51",LIB,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Assistant I,SUSAN HERNANDEZ,Filled,10/1/06,10/16/06,10/27/06,11/13/06,11/24/06,12/1/06,12/13/06,1/1/07
13534,"MCCULLION, CORNELIUS",M,"$39,636.33",DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,JOHN BROWN,Filled,11/19/05,11/30/05,12/6/05,12/29/05,1/9/06,1/13/06,1/25/06,1/31/06
13535,"FEEHLEY, CODY",M,"$65,065.00",FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/29/05,12/5/05,12/8/05,12/27/05,1/7/06,1/20/06,1/29/06,1/30/06
13536,"BASILEO, MARCIE",F,"$65,065.00",FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,12/5/05,12/17/05,12/22/05,1/8/06,1/17/06,1/24/06,1/27/06,1/30/06
13537,"DEERINWATER, HIPOLITO",M,"$65,065.00",FRS,Fire and Rescue Services,Station 26,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/24/05,12/11/05,12/13/05,12/31/05,1/10/06,1/23/06,1/27/06,1/30/06
13538,"SUMMITT, ZACKARY",M,"$65,065.00",FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,12/2/05,12/16/05,12/20/05,1/6/06,1/17/06,1/22/06,1/27/06,1/30/06
13539,"ZEY, CHUCK",M,"$100,635.82",FRS,Fire and Rescue Services,Code Compliance,Fulltime-Regular,Engineer III,WILLIAM WILSON,Filled,12/2/05,12/14/05,12/19/05,1/6/06,1/14/06,1/22/06,1/27/06,1/30/06
13540,"KRAWIEC, NEIL",M,"$71,569.00",FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Master Firefighter/Rescuer,ELIZABETH RODRIGUEZ,Filled,11/23/05,12/6/05,12/7/05,12/26/05,1/9/06,1/18/06,1/27/06,1/30/06
13541,"SONGCO, LEIGH",M,"$93,796.46",HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,DAVID ANDERSON,Filled,11/14/05,11/21/05,12/1/05,12/21/05,1/5/06,1/16/06,1/27/06,1/30/06
13542,"FEAR, CARMINE",M,"$73,016.00",FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,11/10/05,12/1/05,12/9/05,12/30/05,1/11/06,1/20/06,1/26/06,1/30/06
13543,"STELLING, KARLEEN",F,"$93,613.23",OHR,Office of Human Resources,Training and Organizational Development Section,Fulltime-Regular,Human Resources Specialist III,SUSAN HERNANDEZ,Filled,11/15/05,11/27/05,12/3/05,12/23/05,1/7/06,1/13/06,1/26/06,1/30/06
13544,"LONKER, BRYAN",M,"$65,065.00",FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,11/18/05,12/1/05,12/5/05,12/21/05,1/2/06,1/12/06,1/26/06,1/30/06
13545,"SADORF, TESSIE",F,"$96,229.43",DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Management and Budget Specialist III,JAMES JOHNSON,Filled,11/18/05,11/29/05,12/4/05,12/29/05,1/13/06,1/19/06,1/25/06,1/30/06
13546,"MORGENSEN, JULES",M,"$77,399.00",FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,ELIZABETH RODRIGUEZ,Filled,12/1/05,12/9/05,12/13/05,12/27/05,1/7/06,1/19/06,1/24/06,1/30/06
13547,"BAGLIETTO, ANGELIC",F,"$80,700.11",LIB,Department of Public Libraries,Marilyn J Praisner Library,Fulltime-Regular,Librarian II,SUSAN HERNANDEZ,Filled,11/6/05,11/27/05,12/6/05,12/24/05,1/8/06,1/18/06,1/24/06,1/30/06
13548,"WILLYERD, WESTON",M,"$65,065.00",FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/18/05,12/3/05,12/13/05,12/29/05,1/12/06,1/17/06,1/23/06,1/30/06
13549,"FOLSTON, DORSEY",M,"$100,914.58",HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Program Manager II,JENNIFER MARTINEZ,Filled,11/17/05,11/28/05,12/5/05,12/24/05,1/8/06,1/12/06,1/23/06,1/30/06
13550,"PERGAMENT, EMORY",M,"$71,569.00",FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Master Firefighter/Rescuer,JENNIFER MARTINEZ,Filled,11/14/05,11/25/05,12/4/05,12/25/05,1/1/06,1/9/06,1/23/06,1/30/06
13551,"BONINO, LINDSAY",M,"$48,019.94",DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,JOHN BROWN,Filled,11/24/05,12/2/05,12/7/05,12/21/05,1/1/06,1/9/06,1/23/06,1/30/06
13552,"ENGELBRECHT, SHERMAN",M,"$65,065.00",FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,11/18/05,11/28/05,12/6/05,12/24/05,1/6/06,1/16/06,1/22/06,1/30/06
13553,"DIMKE, CORNELIUS",M,"$67,102.00",FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,12/8/05,12/15/05,12/17/05,1/1/06,1/8/06,1/15/06,1/22/06,1/30/06
13554,"RONNING, MARC",M,"$73,606.00",FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,MICHAEL GARCIA,Filled,11/12/05,11/27/05,12/7/05,12/23/05,1/6/06,1/15/06,1/22/06,1/30/06
13555,"GELLIS, TAYLOR",M,"$78,733.00",FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,WILLIAM WILSON,Filled,11/13/05,11/16/05,12/2/05,12/22/05,1/6/06,1/15/06,1/22/06,1/30/06
13556,"MCCULOUGH, BRETT",M,"$110,763.13",DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Manager III,PATRICIA WILLIAMS,Filled,11/8/05,11/22/05,12/4/05,12/28/05,1/8/06,1/14/06,1/22/06,1/30/06
13557,"LUBOVICH, LARRY",M,"$65,065.00",FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,11/11/05,11/26/05,12/8/05,12/28/05,1/7/06,1/14/06,1/22/06,1/30/06
13558,"HELENEK, ARMAND",M,"$71,569.00",FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Master Firefighter/Rescuer,JENNIFER MARTINEZ,Filled,11/18/05,11/26/05,12/9/05,12/28/05,1/10/06,1/17/06,1/21/06,1/30/06
13559,"KLIEFOTH, MONROE",M,"$44,535.95",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,LINDA JONES,Filled,11/14/05,12/1/05,12/5/05,12/26/05,1/6/06,1/17/06,1/21/06,1/30/06
13560,"PAGEL, ARIEL",F,"$73,364.06",HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,DAVID ANDERSON,Filled,11/23/05,12/4/05,12/9/05,12/28/05,1/9/06,1/16/06,1/21/06,1/30/06
13561,"CORWINE, DYLAN",M,"$65,065.00",FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,12/3/05,12/5/05,12/15/05,12/27/05,1/7/06,1/13/06,1/21/06,1/30/06
13562,"SCHOBER, ZACHARY",M,"$65,065.00",FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,11/17/05,12/1/05,12/7/05,12/28/05,1/6/06,1/13/06,1/21/06,1/30/06
13563,"MCPAUL, HALEY",F,"$55,076.51",DOT,Department of Transportation,Transit Special Transportation and Medicaid,Fulltime-Regular,Income Assistance Program Specialist II,ROBERT MILLER,Filled,11/11/05,12/1/05,12/16/05,12/30/05,1/9/06,1/12/06,1/21/06,1/30/06
13564,"CATELLO, PERCY",M,"$46,396.18",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/3/05,11/14/05,11/26/05,12/18/05,1/6/06,1/12/06,1/21/06,1/30/06
13565,"YONEDA, STANFORD",M,"$71,569.00",FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Master Firefighter/Rescuer,WILLIAM WILSON,Filled,11/10/05,11/21/05,11/30/05,12/16/05,12/27/05,1/8/06,1/21/06,1/30/06
13566,"HOYUM, CASEY",M,"$71,569.00",FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,WILLIAM WILSON,Filled,11/5/05,11/14/05,11/21/05,12/10/05,12/24/05,1/8/06,1/21/06,1/30/06
13567,"ORLANDI, BILLIE",F,"$57,004.73",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,DAVID ANDERSON,Filled,11/13/05,11/22/05,11/29/05,12/15/05,12/24/05,1/3/06,1/21/06,1/30/06
13568,"BOLEY, ROBT",M,"$67,102.00",FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,12/2/05,12/12/05,12/20/05,1/3/06,1/12/06,1/18/06,1/20/06,1/30/06
13569,"ASKAM, CORTEZ",M,"$65,065.00",FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,11/13/05,11/23/05,11/30/05,12/20/05,1/4/06,1/13/06,1/20/06,1/30/06
13570,"KOWALKOWSKI, GORDON",M,"$65,065.00",FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,11/5/05,11/26/05,12/2/05,12/20/05,1/3/06,1/11/06,1/20/06,1/30/06
13571,"FORE, IVORY",M,"$46,396.18",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/10/05,11/20/05,11/29/05,12/17/05,1/2/06,1/10/06,1/20/06,1/30/06
13572,"PIEKARZ, ARRON",M,"$67,102.00",FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,11/13/05,11/23/05,11/27/05,12/18/05,12/29/05,1/7/06,1/20/06,1/30/06
13573,"VERZI, JARRED",M,"$56,901.00",COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,12/4/05,12/9/05,12/15/05,12/28/05,1/9/06,1/13/06,1/19/06,1/30/06
13574,"PRAIRIE, KIETH",M,"$67,102.00",FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,11/12/05,11/27/05,12/2/05,12/20/05,1/3/06,1/8/06,1/19/06,1/30/06
13575,"BRYLSKI, KATHLEEN",F,"$77,911.56",HHS,Department of Health and Human Services,Chief Operating Officer,Fulltime-Regular,Management and Budget Specialist III,DAVID ANDERSON,Filled,10/29/05,11/10/05,11/20/05,12/15/05,12/26/05,1/8/06,1/19/06,1/30/06
